labels american british chinese dutch flemish french german indian italian japanese spanish
american 0.0 35600.99865303113 2552.837570676579 6305.316275192306 8808.529103609553 15328.405312309096 12795.79393050792 1961.8024258452558 3259.1342311120716 2500.238744306761 10886.943753409336
british 4306.043964401051 0.0 327.0156271970699 6090.338667510258 18712.877947047185 35376.8505510882 24345.66012281568 223.95207742386077 1553.5933915731569 225.9438843799162 8837.723766563624
chinese 4919.5060112429155 5210.153765661387 0.0 4159.869605484603 4935.013959717881 5920.082324989743 6477.130459555937 14025.422929672526 4165.879581514833 40177.834839391995 10009.106522768176
dutch 219.97360016149807 1756.6646069013136 75.30868977012473 0.0 50979.386420021474 6476.439231035378 30328.917032750604 56.73382604881196 3320.3187504671732 49.8689798268881 6736.388863016735
flemish 141.54989307854706 2486.1679185995586 41.152500116298825 23482.10735101957 0.0 14006.302476980565 51279.047993285174 29.368228470947678 1810.7517758271442 26.962530756999524 6696.589331865192
french 715.6910751044287 13656.251738777988 143.4359649223353 8667.647359685287 40695.46122757568 0.0 24798.061822223535 89.14584549156676 1678.4965257792255 101.93422467136195 9453.874215768581
german 189.61130055670148 2982.6497360363624 49.805959544001894 12882.20469739721 47285.804405590796 7870.205856180048 0.0 40.7959481605811 2137.0994025347823 32.345370263506005 26529.477323736017
indian 6148.349624169596 5802.860158790363 22809.771866066352 5096.613193325242 5727.629093298661 5983.782105763753 8628.262313259003 0.0 7190.154052120779 16642.938479990622 15969.639113215631
italian 590.0960492582573 2325.6349504173395 391.4072435655331 17232.034293938585 20402.022726626485 6508.970150878493 26112.484936895915 415.38935833500557 0.0 269.35976957617936 25752.600520508207
japanese 5862.659173138679 4380.235676159107 48887.90003973191 3351.8144061958924 3934.301765643846 5119.229080659349 5118.330357370323 12452.022185501633 3488.393261442384 0.0 7405.114054156871
spanish 383.03913617245445 2570.75869994248 182.74023063037325 6793.610322080011 14661.712011093792 7123.909010444726 62989.60488344583 179.27881945446023 5004.236219453967 111.11066728189644 0.0
